ADDRESS,ADMIN_DIST,ATS_CODE,BORO,BORONUM,City,FAX,GEO_DISTRI,GRADES,LOC_CODE,MANAGED_BY,PRINCIPAL,PRIN_PH,SCHOOLNAME,SCH_TYPE,STATE_CODE,ZIP,geometry,lat,lon,index_right,index,uhf34,mood1,mood2,mood3,mood4,mood5,mood6,agg_mood,nspd,Total Enrollment
200 LINWOOD STREET,19.0,19K108 ,K,2.0,BROOKLYN,718-827-4137,19,"0K,01,02,03,04,05,SE",K108,1.0,CONSTANCE HAHN,718-277-7010,P.S. 108 SAL ABBRACCIAMENTO,Elementary,NY,11208,POINT (-73.88428958567982 40.68127222593671),40.6812722259,-73.8842895857,7.0,8.0,8.0,4.39173680184,4.2874617737,4.26758409786,4.65902140673,3.90199081164,4.74655436447,7.39040828363,8.07967657711,982.0
1001 EAST  45 STREET,22.0,22K109 ,K,2.0,BROOKLYN,718-693-3072,22,"0K,01,02,03,04,05,06,07,08,SE",K109,1.0,Joan Thomas,718-693-3426,P.S. 109,K-8,NY,11203,POINT (-73.93297568084424 40.63674200229576),40.6367420023,-73.9329756808,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,695.0
124 MONITOR STREET,14.0,14K110 ,K,2.0,BROOKLYN,718-383-5053,14,"PK,0K,01,02,03,04,05,SE",K110,1.0,ANNA CANO AMATO,718-383-7600,P.S. 110 THE MONITOR,Elementary,NY,11222,POINT (-73.94204270376335 40.72365824962274),40.7236582496,-73.9420427038,4.0,5.0,5.0,4.13798701299,4.19500324465,4.10386238234,4.4377027904,3.77005521273,4.52826510721,3.82311054892,1.35595264588,447.0
7115 15 AVENUE,20.0,20K112 ,K,2.0,BROOKLYN,718-232-3609,20,"0K,01,02,03,04,05,SE",K112,1.0,Louise Verdemare (Alfano),718-232-0685,P.S. 112 LEFFERTS PARK,Elementary,NY,11228,POINT (-74.00069389916121 40.6194926703876),40.6194926704,-74.0006938992,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,614.0
300 ADELPHI STREET,13.0,13K113 ,K,2.0,BROOKLYN,718-596-2802,13,"06,07,08,SE",K113,1.0,Dawnique Daughtry,718-834-6734,M.S. 113 RONALD EDMONDS LEARNING CENTER,Junior High-Intermediate-Middle,NY,11205,POINT (-73.97124556469851 40.68851273768916),40.6885127377,-73.9712455647,5.0,6.0,6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145,414.0
1077 REMSEN AVENUE,18.0,18K114 ,K,2.0,BROOKLYN,718-649-5216,18,"PK,0K,01,02,03,04,05,SE",K114,1.0,Darwin Smith,718-257-4428,P.S. 114 RYDER ELEMENTARY,Elementary,NY,11236,POINT (-73.90814428593906 40.64261454800118),40.642614548,-73.9081442859,11.0,12.0,12.0,4.42141036534,4.34523809524,4.37021276596,4.65136054422,3.92602040816,4.74808510638,8.06519405428,8.018645945,603.0
1500 EAST  92 STREET,18.0,18K115 ,K,2.0,BROOKLYN,718-209-1714,18,"PK,0K,01,02,03,04,05,SE",K115,1.0,Denis Guerin,718-241-1000,P.S. 115 DANIEL MUCATEL SCHOOL,Elementary,NY,11236,POINT (-73.89757680513695 40.63486735752873),40.6348673575,-73.8975768051,11.0,12.0,12.0,4.42141036534,4.34523809524,4.37021276596,4.65136054422,3.92602040816,4.74808510638,8.06519405428,8.018645945,1092.0
515 KNICKERBOCKER AVENUE,32.0,32K116 ,K,2.0,BROOKLYN,718-821-0363,32,"0K,01,02,03,04,05,SE",K116,1.0,SEIW KONG,718-821-4623,P.S. 116 ELIZABETH L FARRELL,Elementary,NY,11237,POINT (-73.91658114062027 40.69805648436513),40.6980564844,-73.9165811406,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,522.0
3829 AVENUE K,22.0,22K119 ,K,2.0,BROOKLYN,718-338-0694,22,"0K,01,02,03,04,05,SE",K119,1.0,LISA FERNANDEZ,718-377-7696,P.S. 119 AMERSFORT,Elementary,NY,11210,POINT (-73.9387406266372 40.62603770725484),40.6260377073,-73.9387406266,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,405.0
18 BEAVER STREET,14.0,14K120 ,K,2.0,BROOKLYN,718-574-6637,14,"PK,0K,01,02,03,04,05,SE",K120,1.0,Liza Caraballo,718-455-1000,P.S. 120 CARLOS TAPIA,Elementary,NY,11206,POINT (-73.93774723074912 40.70061165009948),40.7006116501,-73.9377472307,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,429.0
5301 20 AVENUE,21.0,21K121 ,K,2.0,BROOKLYN,718-252-4075,21,"PK,0K,01,02,03,04,05,06,07,08,SE",K121,1.0,LILLIAN CATALANO,718-377-8845,P.S. 121 NELSON A. ROCKEFELLER,K-8,NY,11204,POINT (-73.97880960883606 40.62288967273062),40.6228896727,-73.9788096088,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,356.0
100 IRVING AVENUE,32.0,32K123 ,K,2.0,BROOKLYN,718-821-0858,32,"0K,01,02,03,04,05,SE",K123,1.0,VERONICA GREENE,718-821-4810,P.S. 123 SUYDAM,Elementary,NY,11237,POINT (-73.92250388745674 40.70394746645847),40.7039474665,-73.9225038875,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,737.0
515 4 AVENUE,15.0,15K124 ,K,2.0,BROOKLYN,718-965-9558,15,"PK,0K,01,02,03,04,05,SE",K124,1.0,Annabelle Martinez,718-788-0246,P.S. 124 SILAS B. DUTCHER,Elementary,NY,11215,POINT (-73.99069764193841 40.66749421216213),40.6674942122,-73.9906976419,5.0,6.0,6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145,341.0
424 LEONARD STREET,14.0,14K126 ,K,2.0,BROOKLYN,718-302-2319,14,"06,07,08,SE",K126,1.0,ROSEMARY OCHOA,718-782-2527,JOHN ERICSSON MIDDLE SCHOOL 126,Junior High-Intermediate-Middle,NY,11222,POINT (-73.94837476063879 40.71976453846683),40.7197645385,-73.9483747606,4.0,5.0,5.0,4.13798701299,4.19500324465,4.10386238234,4.4377027904,3.77005521273,4.52826510721,3.82311054892,1.35595264588,372.0
7805 7 AVENUE,20.0,20K127 ,K,2.0,BROOKLYN,718-836-9427,20,"0K,01,02,03,04,05,SE",K127,1.0,Agatha Alicandro,718-833-2323,P.S. 127 MCKINLEY PARK,Elementary,NY,11228,POINT (-74.01859887831321 40.62379239318376),40.6237923932,-74.0185988783,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,529.0
2075 84 STREET,21.0,21K128 ,K,2.0,BROOKLYN,718-266-6254,21,"PK,0K,01,02,03,04,05,SE",K128,1.0,MARCIA ROBINS,718-373-5900,P.S. 128 BENSONHURST,Elementary,NY,11214,POINT (-73.99546960307462 40.60502216144332),40.6050221614,-73.9954696031,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,425.0
70 OCEAN PARKWAY,15.0,15K130 ,K,2.0,BROOKLYN,718-854-9756,15,"PK,0K,01,02,03,04,05,SE",K130,1.0,MARIA NUNZIATA,718-686-1940,P.S. 130 THE PARKSIDE,Elementary,NY,11218,POINT (-73.97591819208371 40.6489288641402),40.6489288641,-73.9759181921,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,770.0
4305 FT HAMILTON PARKWAY,15.0,15K131 ,K,2.0,BROOKLYN,718-853-5952,15,"PK,0K,01,02,03,04,05,SE",K131,1.0,RUTH QUILES,718-686-1457,P.S. 131 BROOKLYN,Elementary,NY,11219,POINT (-73.9933455079083 40.64078377804587),40.640783778,-73.9933455079,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,1085.0
320 MANHATTAN AVENUE,14.0,14K132 ,K,2.0,BROOKLYN,718-599-7417,14,"PK,0K,01,02,03,04,05,SE",K132,1.0,BETH LUBECK,718-599-7301,P.S. 132 THE CONSELYEA SCHOOL,Elementary,NY,11211,POINT (-73.94588672778785 40.71476204649292),40.7147620465,-73.9458867278,4.0,5.0,5.0,4.13798701299,4.19500324465,4.10386238234,4.4377027904,3.77005521273,4.52826510721,3.82311054892,1.35595264588,689.0
4001 18 AVENUE,22.0,22K134 ,K,2.0,BROOKLYN,718-854-4115,22,"PK,0K,01,02,03,04,05,SE",K134,1.0,DEBRA RAMSARAN,718-436-7200,P.S. K134,Elementary,NY,11218,POINT (-73.97329311416465 40.63226343643443),40.6322634364,-73.9732931142,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,549.0
684 LINDEN BOULEVARD,18.0,18K135 ,K,2.0,BROOKLYN,718-941-0847,18,"PK,0K,01,02,03,04,05,SE",K135,1.0,Trevlyn Mcrae,718-693-4363,P.S. 135 SHELDON A. BROOKNER,Elementary,NY,11203,POINT (-73.93297375107556 40.65334683635166),40.6533468364,-73.9329737511,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,665.0
4004 4 AVENUE,15.0,15K136 ,K,2.0,BROOKLYN,718-965-9567,15,"06,07,08,SE",K136,1.0,ERIC SACKLER,718-965-3333,I.S. 136 CHARLES O. DEWEY,Junior High-Intermediate-Middle,NY,11232,POINT (-74.00732077411725 40.65198860212794),40.6519886021,-74.0073207741,8.0,9.0,9.0,4.31640625,4.345703125,4.2255859375,4.611328125,3.85239491691,4.677734375,6.66201453403,6.68647458268,495.0
121 SARATOGA AVENUE,23.0,23K137 ,K,2.0,BROOKLYN,718-453-5363,23,"PK,0K,01,02,03,04,05,06,07,08,SE",K137,1.0,Winston Riley,718-453-2926,P.S./I.S. 137 RACHEL JEAN MITCHELL,K-8,NY,11233,POINT (-73.91671994720005 40.68224554475319),40.6822455448,-73.9167199472,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,295.0
760 PROSPECT PLACE,17.0,17K138 ,K,2.0,BROOKLYN,718-953-3422,17,"PK,0K,01,02,03,04,05,06,07,08,SE",K138,1.0,Ms. Marie Chauvet-Monchik,718-467-0800,P.S. 138 BROOKLYN,K-8,NY,11216,POINT (-73.95133253263384 40.67414986276736),40.6741498628,-73.9513325326,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,679.0
330 RUGBY ROAD,22.0,22K139 ,K,2.0,BROOKLYN,718-940-1205,22,"PK,0K,01,02,03,04,05,SE",K139,1.0,MARY MCDONALD,718-282-5254,P.S. 139 ALEXINE A. FENTY,Elementary,NY,11226,POINT (-73.96573819706892 40.64140320613307),40.6414032061,-73.9657381971,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,978.0
985 ROCKAWAY AVENUE,75.0,75K140 ,K,2.0,BROOKLYN,718-498-9192,23,"PK,0K,01,02,03,04,05,06,07,08,SE",K140,1.0,MICHELLE CARPENTER,718-498-2800,P.S. K140,K-8,NY,11212,POINT (-73.90691830751199 40.65607542926308),40.6560754293,-73.9069183075,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,256.0
655 PARKSIDE AVENUE,75.0,75K141 ,K,2.0,BROOKLYN,718-941-3152,17,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K141,1.0,MICHELE THORNTON MANNIX,718-941-0320,P.S. K141,K-12 all grades,NY,11226,POINT (-73.95176284035966 40.65639498724095),40.6563949872,-73.9517628404,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,374.0
100 NOLL STREET,32.0,32K145 ,K,2.0,BROOKLYN,718-417-3453,32,"PK,0K,01,02,03,04,05,SE",K145,1.0,MARILYN TORRES,718-821-4823,P.S. 145 ANDREW JACKSON,Elementary,NY,11206,POINT (-73.93220791328183 40.70153262659434),40.7015326266,-73.9322079133,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,709.0
610 HENRY STREET,15.0,15K146 ,K,2.0,BROOKLYN,718-923-4780,15,"PK,0K,01,02,03,04,05,SE",K146,1.0,ANNA ALLANBROOK,718-923-4750,P.S. 146,Elementary,NY,11231,POINT (-74.00168484971127 40.6799013833628),40.6799013834,-74.0016848497,5.0,6.0,6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145,652.0
325 BUSHWICK AVENUE,14.0,14K147 ,K,2.0,BROOKLYN,718-628-4988,14,"PK,0K,01,02,03,04,05,SE",K147,1.0,JULIA DRAKE,718-497-0326,P.S. 147 ISSAC REMSEN,Elementary,NY,11206,POINT (-73.93885286498659 40.70515748536214),40.7051574854,-73.938852865,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,297.0
700 SUTTER AVENUE,19.0,19K149 ,K,2.0,BROOKLYN,718-345-8118,19,"PK,0K,01,02,03,04,05,SE",K149,1.0,ENID SILVERA,718-385-8666,P.S. 149 DANNY KAYE,Elementary,NY,11207,POINT (-73.89276069728925 40.66941757800758),40.669417578,-73.8927606973,7.0,8.0,8.0,4.39173680184,4.2874617737,4.26758409786,4.65902140673,3.90199081164,4.74655436447,7.39040828363,8.07967657711,734.0
364 SACKMAN STREET,23.0,23K150 ,K,2.0,BROOKLYN,718-922-3785,23,"0K,01,02,03,04,05,08,SE",K150,1.0,Pamela Bradley Muchere,718-495-7746,P.S. 150 CHRISTOPHER,K-8,NY,11212,POINT (-73.90501924782596 40.66856734106653),40.6685673411,-73.9050192478,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,184.0
763 KNICKERBOCKER AVENUE,32.0,32K151 ,K,2.0,BROOKLYN,718-821-0166,32,"PK,0K,01,02,03,04,05,SE",K151,1.0,Maria Anaya,718-821-4800,P.S. 151 LYNDON B. JOHNSON,Elementary,NY,11207,POINT (-73.9083111085569 40.69337718611082),40.6933771861,-73.9083111086,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,314.0
725 EAST  23 STREET,22.0,22K152 ,K,2.0,BROOKLYN,718-859-5965,22,"PK,0K,01,02,03,04,05,SE",K152,1.0,Dr. Rhonda D. Farkas,718-434-5222,SCHOOL OF SCIENCE & TECHNOLOGY,Elementary,NY,11210,POINT (-73.95435021790355 40.63265037001178),40.63265037,-73.9543502179,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,813.0
1970 HOMECREST AVENUE,21.0,21K153 ,K,2.0,BROOKLYN,718-375-4439,21,"PK,0K,01,02,03,04,05,SE",K153,1.0,Carl SantaMaria,718-375-4484,P.S. 153 HOMECREST,Elementary,NY,11229,POINT (-73.95997621867254 40.60119243289209),40.6011924329,-73.9599762187,13.0,14.0,14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688,565.0
1625 11 AVENUE,15.0,15K154 ,K,2.0,BROOKLYN,718-832-2573,15,"PK,0K,01,02,03,04,05,SE",K154,1.0,SAMUEL ORTIZ,718-768-0057,MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY,Elementary,NY,11215,POINT (-73.97612805834693 40.65706736960831),40.6570673696,-73.9761280583,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,534.0
1355 HERKIMER STREET,23.0,23K155 ,K,2.0,BROOKLYN,718-345-9064,23,"PK,0K,01,02,03,04,05,06,07,08,SE",K155,1.0,NELLY CORTES,718-495-7751,P.S./ I.S. 155 NICHOLAS HERKIMER,K-8,NY,11233,POINT (-73.90871526350566 40.67760688699539),40.677606887,-73.9087152635,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,499.0
104 SUTTER AVENUE,23.0,23K156 ,K,2.0,BROOKLYN,718-346-2804,23,"PK,0K,01,02,03,04,05,SE",K156,1.0,BEVERLY LOGAN,718-498-2811,P.S. 156 WAVERLY,Elementary,NY,11212,POINT (-73.9181958106366 40.66573389840662),40.6657338984,-73.9181958106,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,751.0
850 KENT AVENUE,14.0,14K157 ,K,2.0,BROOKLYN,718-398-4155,14,"PK,0K,01,02,03,04,05,SE",K157,1.0,MARIBEL TORRES,718-622-9285,P.S. 157 BENJAMIN FRANKLIN,Elementary,NY,11205,POINT (-73.95994992673063 40.69541657419126),40.6954165742,-73.9599499267,5.0,6.0,6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145,495.0
400 ASHFORD STREET,19.0,19K158 ,K,2.0,BROOKLYN,718-827-4300,19,"PK,0K,01,02,03,04,05,SE",K158,1.0,AUDREY WILSON,718-277-6116,P.S. 158 WARWICK,Elementary,NY,11207,POINT (-73.88506683631697 40.67258393563708),40.6725839356,-73.8850668363,7.0,8.0,8.0,4.39173680184,4.2874617737,4.26758409786,4.65902140673,3.90199081164,4.74655436447,7.39040828363,8.07967657711,613.0
2781 PITKIN AVENUE,19.0,19K159 ,K,2.0,BROOKLYN,718-827-4531,19,"0K,01,02,03,04,05,SE",K159,1.0,MONICA DUNCAN,718-277-4828,P.S. 159 ISAAC PITKIN,Elementary,NY,11208,POINT (-73.86966364698353 40.67598903194242),40.6759890319,-73.869663647,7.0,8.0,8.0,4.39173680184,4.2874617737,4.26758409786,4.65902140673,3.90199081164,4.74655436447,7.39040828363,8.07967657711,841.0
330 CROWN STREET,17.0,17K161 ,K,2.0,BROOKLYN,718-953-3605,17,"0K,01,02,03,04,05,06,07,08,SE",K161,1.0,Ms. Deborah Barrett,718-756-3100,P.S. 161 THE CROWN,K-8,NY,11225,POINT (-73.94922375281574 40.66596142561698),40.6659614256,-73.9492237528,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,409.0
1390 WILLOUGHBY AVENUE,32.0,32K162 ,K,2.0,BROOKLYN,718-821-1728,32,"06,07,08,SE",K162,1.0,Barbara DeMartino,718-821-4860,J.H.S. 162 THE WILLOUGHBY,Junior High-Intermediate-Middle,NY,11237,POINT (-73.91973710317571 40.70671993802124),40.706719938,-73.9197371032,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,471.0
4211 14 AVENUE,20.0,20K164 ,K,2.0,BROOKLYN,718-853-9306,20,"PK,0K,01,02,03,04,05,SE",K164,1.0,Margaret Choy-Shan,718-854-4100,P.S. 164 CAESAR RODNEY,Elementary,NY,11219,POINT (-73.98585075721986 40.63717463187604),40.6371746319,-73.9858507572,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,590.0
76 LOTT AVENUE,23.0,23K165 ,K,2.0,BROOKLYN,718-345-8255,23,"PK,0K,01,02,03,04,05,06,07,08,SE",K165,1.0,Fran Ellers,718-495-7759,P.S. 165 IDA POSNER,K-8,NY,11212,POINT (-73.91098055704403 40.65722026426055),40.6572202643,-73.910980557,6.0,7.0,7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385,408.0
